epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,60978.2,1.1429,0.9553,1.07962,0.67021,0.53831,0.60481,0.38519,1.25143,1.05752,1.11796,0.0005941,0.0005941,0.0005941
43,61233.6,1.13419,0.92644,1.07919,0.64957,0.57152,0.60851,0.36508,1.3178,1.08357,1.12979,0.0005842,0.0005842,0.0005842
44,61558.8,1.18897,0.99221,1.11185,0.73728,0.53481,0.61608,0.3831,1.26143,1.06797,1.11997,0.0005743,0.0005743,0.0005743
45,61749.2,1.18971,0.98693,1.10805,0.61224,0.60616,0.61136,0.37188,1.25658,1.06755,1.11631,0.0005644,0.0005644,0.0005644
46,61953.9,1.18353,0.99529,1.10466,0.65032,0.60657,0.61894,0.36827,1.34794,1.08014,1.143,0.0005545,0.0005545,0.0005545
47,62134,1.16697,0.9983,1.10874,0.70633,0.57572,0.62203,0.38794,1.2377,1.03423,1.11217,0.0005446,0.0005446,0.0005446
48,62297.6,1.10985,0.91401,1.06575,0.71789,0.57548,0.61563,0.36686,1.32555,1.0664,1.13991,0.0005347,0.0005347,0.0005347
49,62466.1,1.13507,0.94256,1.09345,0.6722,0.59103,0.63398,0.39987,1.25566,1.03881,1.12196,0.0005248,0.0005248,0.0005248
50,62619.5,1.15613,0.93728,1.08461,0.6697,0.5675,0.64415,0.36176,1.47194,1.09637,1.18194,0.0005149,0.0005149,0.0005149
51,62786.1,1.12422,0.92835,1.07511,0.7636,0.56525,0.6309,0.39032,1.26118,1.01704,1.12702,0.000505,0.000505,0.000505
52,62927.8,1.17212,0.95241,1.09888,0.65035,0.61924,0.63098,0.38603,1.31344,1.05919,1.1447,0.0004951,0.0004951,0.0004951
53,63078.2,1.12685,0.9109,1.08186,0.61475,0.58621,0.61809,0.38773,1.27749,1.09247,1.13104,0.0004852,0.0004852,0.0004852
54,63219.5,1.10363,0.87918,1.06748,0.62271,0.58489,0.61446,0.39071,1.23463,1.05964,1.12482,0.0004753,0.0004753,0.0004753
55,63367.2,1.14947,0.9308,1.10263,0.59947,0.5963,0.61596,0.38105,1.3016,1.08587,1.14341,0.0004654,0.0004654,0.0004654
56,63509.7,1.12739,0.90219,1.07742,0.62632,0.57602,0.60975,0.38875,1.20575,1.0811,1.11972,0.0004555,0.0004555,0.0004555
57,63697.3,1.10719,0.90113,1.07593,0.65655,0.58062,0.61756,0.37726,1.29476,1.08522,1.13837,0.0004456,0.0004456,0.0004456
58,63836.7,1.11597,0.90356,1.07614,0.63771,0.58486,0.61482,0.3882,1.20439,1.06421,1.11003,0.0004357,0.0004357,0.0004357
59,63970.2,1.11455,0.90261,1.0732,0.76269,0.53574,0.60618,0.38473,1.22562,1.08355,1.1041,0.0004258,0.0004258,0.0004258
60,64106.6,1.09349,0.87194,1.06021,0.71403,0.58803,0.62405,0.39761,1.21096,1.03754,1.09853,0.0004159,0.0004159,0.0004159
61,64242.2,1.08217,0.85177,1.05463,0.59393,0.60832,0.6267,0.40346,1.19722,1.01379,1.09137,0.000406,0.000406,0.000406
62,64372.7,1.12909,0.9004,1.08174,0.65304,0.60555,0.64092,0.4141,1.24093,1.03063,1.10093,0.0003961,0.0003961,0.0003961
63,64506.3,1.1266,0.90375,1.08397,0.63132,0.60916,0.61973,0.39706,1.2184,1.03889,1.09877,0.0003862,0.0003862,0.0003862
64,64632.3,1.07909,0.84971,1.0543,0.70483,0.55771,0.62907,0.4131,1.17933,1.02475,1.09309,0.0003763,0.0003763,0.0003763
65,64758.5,1.06143,0.8279,1.05125,0.60734,0.60149,0.63206,0.40984,1.19434,1.01538,1.10313,0.0003664,0.0003664,0.0003664
66,64886.7,1.07244,0.83094,1.06162,0.68658,0.62723,0.63691,0.40937,1.19153,1.02759,1.10239,0.0003565,0.0003565,0.0003565
67,65017.5,1.08512,0.85483,1.06256,0.62267,0.59499,0.62496,0.3886,1.24781,1.06861,1.1125,0.0003466,0.0003466,0.0003466
68,65148.1,1.07399,0.83468,1.04992,0.69161,0.58261,0.62991,0.40161,1.1973,1.02925,1.11043,0.0003367,0.0003367,0.0003367
69,65283.5,1.05751,0.83774,1.04402,0.68341,0.57771,0.63117,0.40356,1.20719,1.06396,1.10711,0.0003268,0.0003268,0.0003268
70,65418.6,1.08885,0.82213,1.0462,0.68476,0.56464,0.63354,0.41203,1.1768,1.05588,1.09488,0.0003169,0.0003169,0.0003169
71,65544.7,1.06292,0.79834,1.04216,0.66967,0.60071,0.64089,0.40438,1.23583,1.02441,1.11064,0.000307,0.000307,0.000307
72,65680.6,1.09333,0.84661,1.06927,0.63422,0.62147,0.63226,0.40471,1.20924,1.00804,1.10643,0.0002971,0.0002971,0.0002971
73,65810.3,1.05303,0.80997,1.04686,0.6372,0.64061,0.63568,0.40461,1.20744,1.00833,1.10856,0.0002872,0.0002872,0.0002872
74,65935,1.04524,0.80326,1.0436,0.63801,0.61758,0.64487,0.41473,1.19087,1.00622,1.10922,0.0002773,0.0002773,0.0002773
75,66059.7,1.03548,0.7899,1.04105,0.61969,0.60882,0.64398,0.40908,1.23386,1.02927,1.11256,0.0002674,0.0002674,0.0002674
76,66190.1,1.06848,0.83031,1.05719,0.61863,0.58911,0.62715,0.3844,1.31236,1.0684,1.13995,0.0002575,0.0002575,0.0002575
77,66319.1,1.0396,0.79835,1.04097,0.60896,0.61202,0.63171,0.3786,1.33527,1.05743,1.15004,0.0002476,0.0002476,0.0002476
78,66446.7,1.03102,0.78822,1.03703,0.63698,0.62294,0.63034,0.39928,1.23748,1.00407,1.12639,0.0002377,0.0002377,0.0002377
79,66569.6,1.04669,0.78628,1.03752,0.64637,0.62581,0.64153,0.40753,1.20682,0.98018,1.11734,0.0002278,0.0002278,0.0002278
80,66702.8,1.03825,0.79068,1.03636,0.65682,0.61074,0.64686,0.41476,1.17694,0.98679,1.10605,0.0002179,0.0002179,0.0002179
81,66837.7,1.03918,0.77984,1.03184,0.6806,0.59163,0.64752,0.41757,1.17925,0.99199,1.10287,0.000208,0.000208,0.000208
82,66964.9,0.99802,0.74409,1.01747,0.586,0.63272,0.64428,0.41442,1.18185,1.00305,1.10016,0.0001981,0.0001981,0.0001981
83,67129.5,1.03134,0.7913,1.03687,0.61657,0.60447,0.6421,0.41179,1.18572,1.00241,1.09731,0.0001882,0.0001882,0.0001882
84,67405.7,1.03867,0.78386,1.03622,0.71044,0.5882,0.64387,0.41258,1.18574,0.99218,1.0995,0.0001783,0.0001783,0.0001783
85,67544.8,0.99299,0.76314,1.02151,0.69861,0.58475,0.6397,0.41395,1.17415,0.99292,1.10168,0.0001684,0.0001684,0.0001684
86,67678.8,1.00278,0.74674,1.03167,0.68875,0.61212,0.64696,0.42007,1.19768,0.99888,1.10445,0.0001585,0.0001585,0.0001585
87,67805.3,1.03961,0.79906,1.04635,0.65417,0.6094,0.64349,0.41998,1.19585,1.02366,1.10385,0.0001486,0.0001486,0.0001486
88,67929.8,1.01588,0.76116,1.02455,0.6619,0.60887,0.64051,0.41297,1.19422,1.0253,1.10083,0.0001387,0.0001387,0.0001387
89,68069.1,1.02542,0.76021,1.03069,0.6764,0.60531,0.64107,0.40075,1.27317,1.01894,1.12111,0.0001288,0.0001288,0.0001288
90,68196.9,1.04871,0.75367,1.02608,0.66735,0.62121,0.64927,0.41278,1.22909,0.98759,1.11191,0.0001189,0.0001189,0.0001189
91,68312.6,0.87079,0.61398,0.94666,0.66279,0.61771,0.6508,0.41863,1.18038,0.98336,1.10363,0.000109,0.000109,0.000109
92,68430.8,0.87786,0.57414,0.94468,0.64661,0.60238,0.64301,0.40563,1.21901,1.01223,1.11497,9.91e-05,9.91e-05,9.91e-05
93,68552.2,0.85155,0.55633,0.94133,0.65996,0.59041,0.63857,0.40391,1.23469,1.02936,1.12059,8.92e-05,8.92e-05,8.92e-05
94,68671.5,0.81927,0.53266,0.92792,0.70099,0.56178,0.63648,0.40993,1.19488,1.02146,1.11568,7.93e-05,7.93e-05,7.93e-05
95,68789.5,0.81913,0.52946,0.93256,0.65058,0.58471,0.63518,0.41216,1.20354,1.02001,1.11595,6.94e-05,6.94e-05,6.94e-05
96,68906.1,0.82206,0.529,0.92927,0.66738,0.59177,0.64152,0.40742,1.23728,1.02476,1.12482,5.95e-05,5.95e-05,5.95e-05
97,69032.5,0.80573,0.51071,0.92402,0.67422,0.59064,0.64306,0.41473,1.21019,1.01675,1.11768,4.96e-05,4.96e-05,4.96e-05
98,69168.1,0.79076,0.49907,0.91753,0.65417,0.60527,0.64389,0.42164,1.19177,1.01061,1.1128,3.97e-05,3.97e-05,3.97e-05
99,69290.9,0.81461,0.51607,0.92733,0.66726,0.59718,0.64431,0.42218,1.19555,1.00969,1.11476,2.98e-05,2.98e-05,2.98e-05
100,69413.2,0.79178,0.50479,0.91351,0.65668,0.60332,0.6424,0.41993,1.19676,1.01576,1.1139,1.99e-05,1.99e-05,1.99e-05
